Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:
"Nice hotel, prime location","The hotel location is very convenient as it is close to the places I needed to visit in Orchard. The team is friendly and helpful. Check-in process is top notch, real fast! Would love to stay at Yotel Orchard again the next time I come to Singapore.",50,Jul-22,Undisclosed,2,0
Best hotel for shoppers,"The location is great, and it was less expensive (~150USD w tax) compared to the other hotels in the area. The amenities are all good, and the food was filling. The room was a little small, but it felt like the space was used with high efficiency. The stay was very comfortable as a solo traveler (the bed was really cozy), the view I had was incredible!!!",50,Jul-22,Undisclosed,34,10
Small rooms,Good location but very tiny room not enough space to have suitcase open other than in bed then no space to store case . Staff very dry but reception was always very busy Basic facilities had to ask for supplies for room ,30,Jul-22,Undisclosed,1,0
Excellent,Excellent staff service and room is very clean. Staff was helpful to assist us in check in. Easy access to Orchard Road and SMRT. Very accomodating to our request for later check out. Enables us to have last minute shopping and food. Staff was helpful on check out and also arranging for taxi to airport and also finding the correct terminal at Changi. ,50,Jul-22,Undisclosed,1,0
Great location and service,"We have been arranged a room at high floor with beautiful city view. Although pretty small, the room is very clean. Front desk and housekeeping staff are friendly and responsive. Special thanks to the hotel manager who renders us assistance for some hiccups during our stay. The hotel location is super convenient which is just a minute away from Orchard Road. Easily assessable to elsewhere via bus and MRT with 5 mins walk. Highly recommended!",50,Jul-22,Undisclosed,2,0
Value for money Hotel located at Orchard,Value for money hotel. Strategically located at Orchard Road making it easily accessible to amenities and shopping malls.   Hotel comes with breakfast and cleanliness is top notch. Perhaps a little more choices to the breakfast. ,40,Jul-22,Travelled on business,1,0
Nice hotel close to Orchard Road,"One of the best hotels in Singapore. Staff were all friendly and professional. It was easy to check in and check out. They readily attended to my needs .  The breakfast was ok, not a lot of selections for the price I paid. My room was on the 25 floor. Room size was small but I had the view of the city. Had difficulty opening and closing my safe deposit box. Overall, I would give it a 4 star.",40,Jul-22,Travelled solo,1485,154
July Staycation 2022,"Booked 1 night for VIP King Suite. Lovely balconies! Nice Suite as well. Good service and hospitality by the staff. The robots, Yoshi and Yolanda, are cute as well. Overally had a good staycation with friends. Breakfast was normal.  Able to use the gym as well!  ",50,Jul-22,Travelled with friends,30,23
"Bed’s a novelty, not worthy the sleep quality","The incline bed was fun and game while watching tv, however, it could never be fully flattened when trying to sleep at night. The mattress is extremely soft, to allow for the folding i supposed. Breakfast was good tho.",30,Jul-22,Undisclosed,4,0
Pleasent stay at Yotel,"Room are actually cabins and very small, cleaning frequency is on 4th day, day one is counted as day zero. Friendly staff, all Singaporean are honest and friendly from hotel staff to taxi driver, all are very hospitable and welcoming",30,Jul-22,Undisclosed,13,16
Thumbs up for a cool hotel.,"My daughters and I had a very pleasant stay in this hotel. The place is clean and the room, though small, has the compact version of basic fixtures. The beds are cozy and very comfortable. The staff is friendly and accomodating. The big plus is its location which is really great.",50,Jul-22,Undisclosed,1,0
Excellent,"Quality of money, locatiok OK Easy to reach mall Will reference to friend The staff friendly Quick response all staff Must have disc program for customer Plan to extend but fully book After 3 night stayed  ",50,Jul-22,Undisclosed,1,0
My very first experience with Once every 3 days hotel in Singapore,"The hotel location and bed are superb, unfortunately, the cleaning service is a bit wierdly bad. They clean your room only once every 3 days, which means you have to ask for extra bottles of drinking water for the 2nd and 3rd day, you need to tidy up your room yourself, you have to ask for new paper cup for coffee and clean your rubbish bin yourself. Consider this as room for rent instead of a hotel. Even worst this thing happen during pandemic time.",20,Jul-22,Undisclosed,1,0
Yotel experience,"Nice cool clean and compact room with comfortable beds. With my two young kids, I found difficult to squeeze in one queen bed. I recommend to have single twin beds which this Yotel doesn't have. Best location to stay with all shopping facilities around the Yotel. ",40,Jul-22,Undisclosed,1,0
Fun and enjoyable stays. Love the robot Yoshi and Yolanda,"Very nice location, cozy and cool room. Bit hard to bring large suitcase inside the room. Very friendly and nice place to stay and nice breakfast as well. Haven't tried the pool though it seemed not bad. ",50,Jul-22,Undisclosed,2,0
First Trip to Singapore,"This was my first trip to singapore and I was very satisfied and happy that I was able to get accommodations at YOTEL SINGAPORE. Its very accessible to Orchard Malls and shops, also accessible to the MRT and Bus stations. Hotel was very clean, and modern. There is also a foreign currency exchange machine in the lobby for your convenience!",50,Jul-22,Undisclosed,1,0
Good value for money. Customer service to improve,"Very good hotel since it is in a central location and value for money is excellent. I’ve been here before so I recommended it to friends. But since the customer service was poor where they refused to clean daily, we weren’t happy with the way they treat customers. After all, during this day and age, customer is king. ",40,Jul-22,Undisclosed,1,0
small but functional,"pros- location, easy hassle free self check in, sound proof room, wifi good  cons- pricey, small room, since everything was self serviced should have been cheaper, small short queen bed even for 2 average persons, coffee/tea/water facilities had to be requested daily from housekeeping",30,Jul-22,Undisclosed,1,0
great staycation and holiday,"value for money and clean, bed was not comfy. you may want to try Luke Lobster and Shake Shack very near to this hotel .. overall good hotel with great location. Dont forget to shop along Orchard Road.",50,Jul-22,Undisclosed,2,0
A good option for a young traveller,"If you are looking for a hotel that has a good location, service and nice facilities, this hotel will be one of the best choice along Orchard. Room space is smaller than usual hotels but it’s enough to have a good rest. Location is a walking distance to Orchard station very accessible. ",50,Jul-22,Undisclosed,1,0
Room condition,"The room is too small for 3 persons,  during stay 3 nights 4 days, no clean up, no check daily use item in toilet such as shampoo, shower gel, conditioner, tissue.  The rubbish is full since the first day but we have to find the plastic bag for rubbish by ourself.",30,Jul-22,Undisclosed,1,0
Service generally poor but rooms cool,"They don’t clean your room, u less you specifically ask them to, which given how much you pay for the room is poor. Also, for a cool hotel they still provide water in single use plastic bottles…. Not ok anymore.",30,Jul-22,Undisclosed,9,14
