Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
"Amazing stay, will definitely be back!","The cabin was really cozy and the reclining bed was so convenient as well. Love the amazing view from the toilet. Location is amazing, walking distance to so many places from the movie theatre to malls and a lot of restaurants! Staff were really friendly and the robots were pretty cute too. Will definitely be back again!  ",50,Sep-21,Undisclosed,1,0,Yotel
Staycation,Staff were friendly and helpful during checkin/checkout. Futuristic theme hotel with decent rooms. Location was great and easy to find. Definitely will visit again for a longer stay. Recommended for family with kids also.,50,Sep-21,Undisclosed,2,0,Yotel
Yotel Staycation,It was a wonderful experience! The staff members were very nice and helpful. The cabin/Room is very clean and look futuristic. The robot was cute and very high tech. The cabin comes with a very awesome view and we love it! Will definitely come back again!,50,Sep-21,Undisclosed,1,0,Yotel
Survey,It was a really nice staycay. Quiet room; can barely hear any sound from outside. The TV has a lot of channels for you to choose from. Adjustable bed too!  Located 3-5 minutes walk away from orchard MRT.,50,Sep-21,Undisclosed,1,0,Yotel
Hotel was value for money, Bed is squeaky but everything else about the hotel was perfect. May be hard to dial the front desk at certain timings but its no issue. Staffs are very friendly and they'll help you prepare anyth you request and send it up in the cute robot ,40,Sep-21,Undisclosed,1,0,Yotel
"Convenient, comfortable and relaxing hotel!","A much needed break… The high floor view of the city, convenience of orchard rd, smart beds, rain showers, gym and swimming pool, sibei solid. Had a comfortable and therapeutic stay, would’ve stayed longer.   Only downsides are small (but cozy) rooms and expensive parking :( still 10/10 ",50,Sep-21,Undisclosed,1,0,Yotel
Leisure with kids.,A nice hotel with great view. A calming and cool colour and lighting. Room are small but complete.Kids love the robots. A good location with Mrt nearby. Staffs are friendly and check in and out process was smooth and fast.,40,Sep-21,Undisclosed,1,0,Yotel
10/10 would recommend,finding the hotel was a bit troublesome but the service and quality really makes up for it. the food at the restaurant was delicious and really value for money. they even give u a coupon to redeem free cocktails. i got a room on a high floor and the view was amazing.,50,Sep-21,Undisclosed,1,0,Yotel
Best Price for Orchard Rd Hotel,"Best price for a modern and comfortable hotel in Orchard Road. Conveniently located, near to MRT, plenty of restaurant and shopping. Friendly staffs and all the amenities needed for a fabulous stay.  Love it.",50,Sep-21,Undisclosed,9,4,Yotel
Cool Hotel but not ideal for families with small children,Hotel atmosphere is nice. Check in  was swift and fast.   Booking for pool is easy and fast. Pool is great too. There's a shallow pool before the deep end. Ideally for kids.    Booked the premium queen with overhead bed bunk. The rooms are small. It is really not ideal for families for small children. Its more for travelers who just wants a affordable night stay in town area. ,30,Sep-21,Undisclosed,1,0,Yotel
Coolest hotel ever,"Its perfect for couples depending on what rooms you getting. If u getting a balcony then it suits for u and your partner. Sleep was good with adjustable beds, balcony with a beautiful views. Will come back again thank you Yotel",50,Sep-21,Undisclosed,1,0,Yotel
Solo staycation trip for my birthday,"I was greeted with amazing staffs and had a birthday surprise when I went back to my room, a postcard with signatures of the staffs working on that day! So cute :) breakfast was good and filling , I really enjoyed my stay   ",50,Sep-21,Undisclosed,1,0,Yotel
Awesome service,"We loved our stay here. The location was great, accessible with strollers. The service was awesome! Good job and thank you YOTEL team. If only the food are from halal sources, it would be cherry on top!",40,Aug-21,Undisclosed,1,0,Yotel
Great staycation!,"The front desk wished me happy birthday upon checking in which is very thoughtful of him as those little things will definitely make anyone’s day brighter.   Very very helpful staff in terms of enquiry before my stay as i was asking for breakfast price, motorbike parking, etc.  Upon checking in, it was indeed a small space but you won’t feel it as everything fits perfectly. Receive a call telling that yolanda is outside my door, and there she is singing birthday song with cute macaron.  And the location was awesome. It was indeed a pleasant stay.",50,Aug-21,Travelled as a couple,3,0,Yotel
So so,Location is central and convenient.    To call Yotel is hell-like because nobody bothers to come to the phone.     Everything went wrong from the start.    Booking was made and confirmed but have to changed due to their overbooking.    And it is digital so it seems like digital is not functioning properly.   Changed check in time and upon arrival was told not booking not paid and have to step aside and wait longer for them to check and verify.     I thought going digital should make things smoother and easier but not in Yotel case.,30,Aug-21,Undisclosed,1,0,Yotel
Value for money,"A stone's throw from the centre of the shopping belt, easy access to mrt, lifts available outside of the hotel for the handicapped, food available right beside the hotel. Room is small but easily compensated by its accessibility and convenience.",40,Aug-21,Undisclosed,1,0,Yotel
Great,Comfortable rooms and good for staycation. Rooms were clean and neat! Aircon quality was good and not too cold. Robots brought requested items to our door very speedily with a neat buzz to alert us upon its arrival! ,50,Aug-21,Undisclosed,3,0,Yotel
Staycation,"Booked for one night staycation with friends. The location of the hotel is well situation, within walking distance to the shopping malls. Staff were very welcoming when we arrived, and the room was comfort.",40,Aug-21,Undisclosed,1,0,Yotel
YOTEL YOTEL!!!,"Friendly hotel staff and fast service. Room is clean, comfortable and got a nice view of town. Price is worth it for my 3D2N staycaytion (birthday + teacher's day celebration) with my friend. Super cute and cool robots, Yoshi and Yolanda, that will serve you drinks if you ever run out of it HAHA will come again one day!",50,Aug-21,Undisclosed,2,0,Yotel
Staycation,"Good stay. Worth money. But didnt get to experience the food and bar. Also did not get to go to the swimming pool. Nevertheless, me and wife had a pleasant stay. Will recommendto family and friends who looking for a short getaway.",40,Aug-21,Undisclosed,1,0,Yotel
Bang for the buck hotel,"Love the stay-the service, the clean rooms, the rain shower, the view from the room, the robot that serves room service but I would avoid the food maybe order drinks instead just to see the robot pop by.",40,Aug-21,Undisclosed,1,0,Yotel
YOTEL Staycation - August 2021,"It was a cool looking hotel within Orchard area. The price was quite affordable for a hotel that is located in Singapore's most popular shopping district. Its unique bed also has an elevating mechanism, unseen at other hotels. However, its building may prove challenging to find and its room was quite small to move around too.",30,Aug-21,Undisclosed,1,0,Yotel
Cute Yoshi and Yolanda,Amaze by the robot room service. The room was slightly small but brilliant idea to make such a small place cozy. Overall is fine and luckily YOTEL have an pillow request make my sleep good. Great spots and quiet location.,30,Aug-21,Undisclosed,3,2,Yotel
Cozy place with a great team,Mission control team were all very friendly so if you don’t like attitude here’s a great place to start! Be nice to the team though as they are all trying their best. Room was really small but cozy! Room can get quite dusty cuz of the lack of ventilation but you can easily request for housekeeping if needed. ROBOTS ARE CUTE; they bring your towels up for you!! TV was big and you can plug in your hdmi to your laptop. Overall I had a pretty pleasant stay,50,Jul-21,Undisclosed,3,0,Yotel
10/10 experience at YOTEL,"The service was great at YOTEL. Even though, the room was small, it has everything you need for a great staycation. The room is super clean and the bed was really comfortable. YOTEL is aesthetically pleasing so you can take a lot of instagram-worthy pics. The swimming pool view is not that great though and there were lots of leaves in the pool. However it’s understandable since there were plants near the pool and it can’t be helped. YOTEL is situated near the malls hence, it’s very convenient to get food. OH AND YOSHI & YOLANDA are such cute robots!!!! Overall a 10/10 experience and would definitely stay here again (:",50,Aug-21,Travelled with friends,3,0,Yotel
Average staycay,"You really get what you paid for, average breakfast, small room. However, the view was wonderful from high above and their main menu at their restaurant is not bad at all. The location was pretty good, close to Ion/Shaw. ",30,Aug-21,Undisclosed,2,0,Yotel
.,it was a nice experience. very modern. perfect location. price was right. fairly nice view. friendly staff. amenities were food. enough supplies. robot was cool. easy access to hotel. cool theme too..,40,Aug-21,Undisclosed,1,0,Yotel
Superb staycation,"Good location, value for money and the most important wish.. comfort. When choosing location Yotel should be the 1st choice. Good for couple to waste their leisure time 2gether. The hotel concept is modern and unique. ",40,Aug-21,Undisclosed,1,0,Yotel
Best staycation so far!!,"Great hotel for staycation in town.Shopping centres all nearby and close to a mrt station.The bus stop is just outside the hotel.Alot of food outlets nearby,which was great.Staff very polite and cheery.",50,Aug-21,Undisclosed,1,0,Yotel
Great stay,"Booked with our rediscovery voucher, choose this as our staycation because of the awesome view and cozy room. Service was great, had the opportunity to meet Yolanda the robot. Overall a good stay, would recommend to my friends. ",50,Aug-21,Undisclosed,1,0,Yotel
"Great location, great service, value for money","The hotel was was actually quite easy to find and given the strict measures they had to abide to due to COVID-19, the check-in process was smooth. Given its location, this hotel is definitely reasonably priced. Not one of the hotels with bigger rooms but would definitely recommend this place for couples. ",50,Aug-21,Undisclosed,1,0,Yotel
Nice hotel to stay,Nice hotel. Friendly staff. Book staycay for my birthday. Cute robot came infront of the door and received Macaroon from the hotel and the robot sang me birthday song. :) Overall its a nice place to stay for that 3 days 2 nights.,50,Aug-21,Undisclosed,1,0,Yotel
Enjoyable stay with friendly team :),"My second stay at YOTEL Orchard and I really enjoyed my experience here. From the quick and seamless check-in / check-out done by the Mission Control team (I didn't catch his name but he has green highlights :)) Made me feel welcomed and warm. When I called for disposable cutleries to be sent to the room, the team that answered the call had a friendly tone and as someone who has terrible anxiety with making phone calls, I felt relaxed. I was greeted by the robots and it was a unique experience for me. My experience at the bar was also amazing with friendly service from the bartender and order taker . Cleanliness of room is also immaculate. All in all, a 10/10 from me :) Would definitely recommend YOTEL to my peers! Thank you for the pleasant stay! ",50,Aug-21,Undisclosed,1,0,Yotel
"Smaller room than expected, interesting futuristic concept","Personal card to greet us when we entered. Interesting adjustable bed to sit up and watch tv. Room is smaller than expected, no space to eat food that has been taken back to the hotel, especially with the covid situation- could only order food back, no dine out. TV could not connect and play Netflix from phone. Overall, decent for budget.",30,Jul-21,Undisclosed,25,0,Yotel
Poor stay,Third party booking cancelled our reservation but felt no help was made by the yotel team. Yotel does not know how to handle in terms of cancellation of booking by third party website. Poor breakfast quality and toast was a single normal wheat bread. Do not purchase breakfast. ,10,Aug-21,Undisclosed,1,0,Yotel
August Staycation,2nd time staying in this hotel. Almost gave it out due to COVID-19 situation.   Everything is up to and above expectations.  Checking in was fast. Response from housekeeping is very fast too.   Dining in room is rather inconvenient due to limited table space.,50,Aug-21,Undisclosed,37,5,Yotel
Cosy staycation,The hotel ambience is great and futuristic. The room is cosy and all the staff is friendly  good location and easy to find food.My kids loving they stay there and we will surely retrun back again .....,50,Aug-21,Undisclosed,1,0,Yotel
Value for money,Booked via Klook during the P2HA promo. Hotel offered early check-in as early as 7am which was a nice gesture. Room was compact but sufficient for single/couples. Location of the hotel made it really convenient to move about within Orchard area as it was fully sheltered. Overall a pleasant and well rested staycay!,50,Aug-21,Undisclosed,3,0,Yotel
Good location,"Good location to go shopping and find things to eat, rooms a bit small to move around, no table if writing desk if you are looking for 1. TV Chanel have much variety  selection and have my favourite channel HBO.",30,Aug-21,Undisclosed,5,6,Yotel
review,"overall a very pleasant stay, the service was very good and helpful, would come back again and would recommend to friends. found the robots taking the lift themselves very cute and the lighting and lifts v cool",50,Jul-21,Undisclosed,1,0,Yotel
Very good for short stay!,"Generally, I would recommend, especially for 1-2 day stay; not long stay as room may be too small. Pros: Kind staff, Clean, Nice unique view (they upgraded us to 28floor with Orchard view), good location (although hotel entrance not so good), interesting robot. They also allowed a bit of early check-in and late check-out. Cons: Small room, not comfortable bed, small and not very clean pool (but it was almost private, so I still enjoyed!)",40,Aug-21,Undisclosed,97,5,Yotel
Terrible place of stay with lack of friendly staff,"Not really a place to stay. Hotel 81 is better for a lower price. The whole place was packed with people and there was a lack in SMM. The service staff were rude and very unprofessional. When presented as a complaint to the manager, the manager was unable to answer with a proper reply, instead citing that the team was a new team without experience.",10,Jul-21,Undisclosed,1,0,Yotel
Yotel Orchard,"Hotel was clean and modern with excellent amenities. Included toiletries were excellent. Water and extra towels were brought by yolanda which i found very cute. Thanks Yotel for the macaroons for my birthday, overall will come and stay again",50,Jul-21,Undisclosed,1,0,Yotel
Cozy place for a relax staycation,I gotten the small room but its more than enough for two pax. The toilet was amazing but do remember to pull down the blind unless you want the whole town people to see you naked. Bed was comfy and room was clean. ,40,Jul-21,Undisclosed,1,0,Yotel
Value for Money + Convenient,"Location was good, within minutes of nearby amenities and malls. Room is decently clean and the view wasn't too bad given we were on the high floor. We enjoyed our stay at YOTEL and would recommend :)",40,Jul-21,Undisclosed,2,0,Yotel
Good for Celebration birthday,"This place good for couple  Can releases mind View very nice I hope I can stay at yotel for the next time The robot very2 cute,bring macaroons for the birthday boy and sing a song  My request all done with good ",50,Jul-21,Undisclosed,1,0,Yotel
-,hotel really stands out from the rest because they have robots to deliver items to your room and a huge open view of the city from their toilet that comes with blinds for privacy. room is small but cosy. ,50,Jul-21,Undisclosed,2,0,Yotel
Futuristic StayCay,"Our 3D2N futuristic staycay here was satisfactory. Check-in and check-out was smooth.  Room was basic but great shower and even better bed - recliner mode and very comfy.  Breakfast was okay. Special thanks to Syazwan for attending to us on both days during breakfast.  A lot of yummy eateries around being in Orchard area.  Overall, we’d come back and book a bigger room.",40,Jun-21,Travelled as a couple,151,47,Yotel
Recent stay,"Stay was ok, shower was lousy, water flow was inconsistent, sleep was disruptive whole night. Free breakfast should have a option for Asian food also. Near to MRT is a plus point though so worth considering again.",30,Jul-21,Undisclosed,4,0,Yotel
Hotel review,"Overall it was a good hotel , come to know about this hotel through booking site and saw this hotel and the city  views and location wise was good , the bed was so comfortable making my sleep so enjoyable  and it can be adjusted .",40,Jul-21,Undisclosed,1,0,Yotel
Yotel Experience,I felt that Yotel Singapore's demographic is catered towards couples as the cabins are quite small and the doors of the shower is slightly visible. This would make it uncomfortable for those who are travelling with families. The pool is also not cleaned as there are lots of dry leaves in the pool and the room was quite dusty. ,30,Jul-21,Undisclosed,1,0,Yotel
Staycation.,A nice hotel in a good location. Friendly staff and comfortable bed. A nice birthday surprise from Robot Yolanda to deliver a packet of 4 Macaroons with a handwritten Birthday card from the staffs and Birthday Song sang by Yolanda. A very nice touch on that and made the birthday boy day. Everything is great and we will be back!!!!!,50,Jul-21,Undisclosed,4,0,Yotel
Staycation,"The room was nice and clean. Very convenient and the staffs were friendly. All the essentials were provided in the room. During the pandemic, disposable cups were provided and sanitizers were also provided. It’s a good place to relax and chill. You won’t regret staying here.",50,Jul-21,Undisclosed,1,0,Yotel
Excellent staycation at Yotel Singapore,"We had a pleasant and relaxing stay at Yotel Singapore.  The room is very clean and neat, well equipped with the room amenities. Convenient location and close to many eateries. We will definitely come back again :)",50,Jul-21,Undisclosed,1,0,Yotel
Nice and cosy hotel,Very helpful staff that will go out of their way to help you as much as possible. Cosy hotel with easy access to supermarket and train station.  Nice stay but room is small thus 2 each room would be just nice. ,40,Jul-21,Undisclosed,1,0,Yotel
Nice hotel,"Hotel is convenient and stay was pleasant.  Very clean, mission control team is very friendly and makes you feel at home Bed comfort can be improved but I like the cool appearance, especially when it can incline for you to watch TV and read ",40,Jul-21,Undisclosed,3,0,Yotel
For yourself or couples,A great room if its just by yourself or with your partner. Great and friendly staff. Great ambiance to the place. Love the body lotion there which they use by urban skincare 👍🏽 Finding food and going shopping and watching a movie is not a problem since everything is nearby. ,50,Jul-21,Undisclosed,1,0,Yotel
Enjoyment of the Room,"It was pleasant stay with nearby to the main attraction of Singapore, with a lot of restaurants and shop surrounding. Swimming pool was pleasant, even though it was a little bit small for swim longer.",40,Jul-21,Undisclosed,2,0,Yotel
Love it!,"Love to stay in Yotel Orchard again! It was raining the whole day, but well we managed to go around via underpasses without getting drenched and moods being dampened by the wet weather. My mum and I enjoyed the stay very much. ",50,Jul-21,Undisclosed,1,0,Yotel
Great for staycays!,Booked for staycay with friends. Room was great although it’s a little small but it fits well for 3. I like how near it was to shopping centres like ION & Taka. Service was superb too! Book via trip.com with promo code & price was okay.,50,Jul-21,Undisclosed,2,0,Yotel
Treat YO-self!,I thoroughly enjoyed my 3D2N stay at Yotel. Plus points for robots Yoshi and Yolanda who were so cute! The staff were efficient and polite when we asked for extra towels and pillows during the stay. One thing to note is the weekend breakfast menu differs from the weekday breakfast menu. The local fare served on weekend was Nasi Lemak but weekday local food was just economic beehoon. ,50,Jul-21,Undisclosed,1,0,Yotel
You get what you paid,"The lobby was empty, clearly when we scan temperature and safe entry there’s a very loud beep sound. As we approached the desk, staff didn’t even look up to greet us until we greeted first and the first thing they asked abruptly was “scan temperature and safe entry already?” ",30,Jul-21,Undisclosed,1,0,Yotel
Clean & Comfy,"I love the location so much!! Super easy to find and the room is so clean and nice!! Bed is comfy and not so noisy, but can hear the water flask from upstairs, overall is great!! Definately will stay again :) ",50,Jul-21,Undisclosed,1,0,Yotel
Perfect staycay,Stayed for my anniversary..booked the cabin with bunk and we enjoyed the experience especially my son. Room was good with nice city view and bed was comfy. Clean room. Overall was awesome and perfect.,50,Jul-21,Undisclosed,1,0,Yotel
Comfortable and Futuristic,"The rooms have been cleaned and amazing. With the bed having the interesting design suitable to watch show on the TV. Moreover, ports are available to connect to the TV easily with reasonable distance to have a good watch. ",50,Jul-21,Undisclosed,1,0,Yotel
Everything you need in a hotel,"Good pricing, good location, has everything you need in a hotel the hotel is really good at using its space,. Everything was efficiently place. The blinds were so good at blocking out sunlight, didnt realize it was morning until we checked out phones!",50,Jul-21,Undisclosed,1,0,Yotel
Lovely Experience,"I had enjoyable time at YOTEL. Great location as it was accessible to Orchard area. Wonderful service as the staff was always very friendly and cheerful. It was also a good value for money that included the amazing view from my room and I love the concept as well. Overall, I had a lovely experience.",50,Jul-21,Undisclosed,2,0,Yotel
Great staycation,"Used rediscover vouchers for this one, was good cuz it's near shake shack. During the lunch weekend rush, we can just dabao back to our rooms and eat. TV can be used for HDMI, and screen mirroring netflix! From phone to internet (I was using android). The beds are so soft and comfy, you'll literally sink inside 😴 the view was great for the small room! 22nd floor 😋",50,Jul-21,Undisclosed,1,0,Yotel
Great hotel for staycays,Yotel is ideal for both families and friends to chill and hang out. It is also very conveniently located in town where you can access food and shopping easily. Cool and modern deco. Friendly and helpful hotel staff.,50,Jul-21,Undisclosed,1,0,Yotel
Good Stay at Yotel,"Good stay in Yotel, and the robot is so cute and cool.   The window view is in the toilet, it will be good if can switch the bed and toilet.....Then we can have view all the time...  the shampoo and body wash smell so good！Love it！",40,Jul-21,Undisclosed,2,0,Yotel
Warm and cozy,"Although the cabin was quite small, it was just nice a fit for 2-3 guests. The overall comfort level was good and it was at a very good location. The robots which they utilized to transport up extra towels/water was really cool! ",40,Jun-21,Undisclosed,1,0,Yotel
Relaxing Staycation for One,"I thoroughly enjoyed my stay at Yotel!  Although I was wondering how the emphasis on technology and functionality would impact my overall experience, I must say it didn't matter much in the end. The staff were helpful, friendly and earnest in their service. When I needed a lightning cable and HDMI cable for my ipad, the mission control staff were quick to help (though I must say I was fortunate enough to snag a lightning cable before they were all taken). When I asked to spend my $40 F&B voucher over multiple visits to the restaurant rather than all at once as required, the young man speaking over the line made sure that that could happen since I was staying alone and would find it hard to eat and drink $40 worth of food at one go.  The gym is rather small and could be better…",40,Jun-21,Undisclosed,18,13,Yotel
"Great Staff, Great Stay!","The check in staff was super friendly, and he was detailed as he even wished me advanced Happy Birthday based on my particular. I had a connecting rooms and everything was superb! When I requested some amenities to be sent up to the room from the robots (Yoshi and Yolanda), the service crew was also nice enough to give me a call to tell us that the robots was low on battery and offered to send it up. (understandable because it was a weekend booking and everyone wants to see the robots in action!) ",50,Jun-21,Undisclosed,2,3,Yotel
Staycation,The cabin was modern minimalistic. The toilet design was great with the 2 different types of blinds. The variety of channels to offer was good. But maybe the type of bed should be better as it was a little uncomfortable. Overall it was a great stay.,40,Jun-21,Undisclosed,1,0,Yotel
Best Hotel Ever,"The place is clean. The staff that attend to us polite, professional and she mention everything with detail. The bed is comfy, the cabin room is cozy and nice. Modern kind of hotel. Overall experience is perfect. ",50,Jun-21,Undisclosed,1,0,Yotel
Recommended,"Small and cozy, smooth check in and out, Comfortable bed. Breakfast can have more choices, ordered orange but came half a cup. Don’t have a proper place for work. Convenient location. Overall recommended",40,Jun-21,Undisclosed,1,0,Yotel
Terrible Birthday Staycation,"I checked in late evening on my birthday and the front reception was adequate but not pleasant - the staff had my IC, they should know it’s my birthday, it wouldn’t be hard for them to wish me a happy birthday?  Room was small but functional, but being someone with chronic back and neck pain, the bed was unacceptable.   It was the kind of bed that flattens when you sit on it. The depression in the mattress was unacceptable - what to expect from a mattress that literally bends right? Even when I’m lying flat you can feel the depression towards my lower back. I have been to plenty of budget hotels and hotels of similar price point (for example Msocial) and it was never a problem.   I ended up checking out at 2.30am after trying to sleep and getting a headache from the lack of…",10,Jun-21,Travelled as a couple,4,0,Yotel
June weekday-cation,"A month later, back to my hobby again. Supposed to staycay last week and plans changed. Now im here and trying out this hotel, modern, amenities were pretty basic and comfortable enough. Bathroom was weird that have to use blinders for privacy. The room itself doesnt block outside noise so its kinda hard to sleep.",40,Jun-21,Travelled solo,74,33,Yotel
Yotel to the Future ,"Always heard of this Yotel experiences from social sites,  and now finally I have a chance to Yotel in ! Had a fantastic stay at Yotel Orchard. From check in to the cabin, there was nothing but Wows ! Check In was quick and fast and thank You mission crew for  the high floor cabin I got.  ""Space Lift"" was fast to with 6 lifts available for guest to go up and down. Lifts comes in wonderful lights that make you go whoooo   I booked the Premium Queen Room with Overhead Bunk Bed. It was a fantastic experience having this cabin! Queen bed was comfortable with Up/Down buttons to adjust to sleep or just to laze to watch TV  Room is indeed small n compact but hey, everything u need is in the room ! Bottle water, TV, WiFi is Free!   Bathroom is the best factor I had for this cabin! It…",50,Jun-21,Travelled with family,197,81,Yotel
Good experience,Everything was great except for strong sewage smell coming from the toilet. Also hard to eat as there is no proper tables and chairs to use. Bed was comfy with the smart bed function. Overall great experience.,40,Jun-21,Undisclosed,1,0,Yotel
Stayca,I would suggest Yotel to provide a HDMI extender for users to connect gaming devices such as nintendo switch to play on TV.   To have a Netflix channel to allow users to login to our own Netflix account to watch movies  To provide small foldable chairs for dinning in rooms during this pandemic period.   Overall still a good experience!   Just some suggestions to improve! Thank you Yotel! ,50,Jun-21,Undisclosed,1,0,Yotel
Awesome experience,Wrote the awesome stay i had in the previous page maybe this slot is unnecessary but overall perfect stay it was from the time we check in till the day we check out so thank you and good job see you again soon,50,Jun-21,Undisclosed,1,0,Yotel
Great customer service,"I would like to take this chance to thank the team for offering early check in @7am, which is really not expected. The team has also gave us a handwritten birthday card & macaroons for my another half as it was his birthday. Thank you for putting in so much efforts as well as time for this, really appreciate it and we will definitely come back again ",50,Jun-21,Undisclosed,1,0,Yotel
No room service for this price please note.,"Service was great don’t get me wrong but the problem was no room service for the price I’m paying. Maybe if they coated themselves as budget hotel, I wouldn’t have had a minimum expectation to get a bucket of ice sent to my room to drink! Since no dining in is allowed in Singapore due to covid, we had to dine in the room but no table was found. Thought it was gonna be some hidden table somewhere but nope, had to eat on top of the safe box. ",30,Jun-21,Undisclosed,1,0,Yotel
Cool Hotel,"This hotel feels like a sci-fi movie. The features are amazing with the creepy singing robots delivering stuff to the room, it was a seamless experience to communicate with the robot! It was really fun ",50,Jun-21,Undisclosed,5,3,Yotel
Wonderful hotel!,The hotel is very clean! Lovely service. People are nice! There is swimming pool and a gym (although cant go it coz of COVID guidelines)  Interesting bed that is able to adjust the inclination (which are good for ppl with acid reflux/gerd coz dont have to bring a wedge pillow). All rooms even comes with hairdryer and iron.  The location of Yotel Orchard gives access to many food and eateries. And you can also shop around.   Overall this hotel is a perfect little gem. And will definitely come back again.,50,Jun-21,Undisclosed,1,0,Yotel
Love it!,"Really loved the hotel. Needed a short getaway and a short break from life and this is worth every dollar!!!! Room was very clean, and the staff was very professional and friendly. I enjoyed every little bits for what the hotel has to offer!",50,May-21,Undisclosed,1,0,Yotel
Staycation at Yotel,"The check-in procedure was fuss-free and quick. The customer service was swift and professional. Initially, when we entered the room, we felt that it looked small yet it felt cozy too. The bed was very comfortable to rest in and it could be reclined and inclined to our comfort level. The shower area was spacious as well. When we dialed for extra items, a robot came and the items were provided quickly as well. We opted for the breakfast for 2 for Western and the quality was great. Overall, the stay was enjoyable. ",50,Jun-21,Undisclosed,2,0,Yotel
My experience of fire alarm,The fire alarm that was activated in the middle of the night and asking us to evacuate was really scaring experience for us . The following noon the fire alarm was activated again . We didn’t have enough sleep as we were woken up by the alarm . ,30,Jun-21,Undisclosed,1,0,Yotel
Central and Futurisitc,"Upon stepping into the establishment, you will be transported into somewhere in the future, with robot butlers and space-themed references to make you feel (literally) out of this world. The amenities are decent, with a owner offering a gorgeous view of the city, and a bed that can transform into a sofa with the click of a button.   However, do not expect a large room as this is meant for a traveller or couples on the move.",40,Feb-21,Travelled solo,41,44,Yotel
Best Hotel yet!,"slept through the whole nighttttt for the very first time when i go for a staycay. i dont usually able to sleep when i go to hotels but you guys, the quality of sleep i had was amazing. the bed, the room, the robots, the customer services was impeccable. Good job Yotel Orchard! ",50,May-21,Undisclosed,1,0,Yotel
Location!location!location!,This was a kind of our stranded trip because our connection flight was disrupted. We decided to stay at Yotel Orchard based on my previous experience. Small but functional room and the location is the best!,50,May-21,Undisclosed,1,0,Yotel
COZY,"The room and smartbed was cozy for a small room, lovely with the rain shower. Great for a short staycation! Would recommend others to try out as YOTEL has cool robots, Yoshi and Yolanda to deliver items to the rooms.",40,May-21,Undisclosed,1,0,Yotel
great price for a great location,"small rooms, but well worth the price as it's situated at a prime location. bed is a bit on the softer side as it sinks in, so if you're someone who prefers firm bed, this may not suit your back.  thanks to their service staff who noticed my bf's birthday and sent a robot up to deliver macarons and 'sing' happy birthday to him. really great customer service.",50,May-21,Undisclosed,1,0,Yotel
Great experience!,"I had a great stay at Yotel. An amazing experience with a team of friendly and professional mission control team. They responded to my requests during my stay and offered a complimentary late check out. Although the room was slightly small, it felt cozy and comfortable for my partner and I. ",50,May-21,Undisclosed,1,0,Yotel
Value for money,The cabin was comfortable and clean. The balcony overlooking orchard road was a plus point and the smart bed was one of a kind. Staff was friendly and warm. Chek in and out experience was a breeze. Strategically located and value for money.,50,May-21,Undisclosed,9,22,Yotel
A pleasant stay,"My kids and I love the ambience. Though the rooms are small, it's comfortable and cosy and that's what is most important for us. It's a hotel that I will definitely recommend my friends to. Thank you Yotel!",50,May-21,Undisclosed,1,0,Yotel
Shalala your stay with Yotel,I have the most pleasant experience with Yotel Orchard.   The room is consider small but the service is 5 stars. From checkin to checkout all is smooth. They even handwritten birthday cards just like how airline do during special occasions plus the staff give a macaron for the birthday boy.   Breakfast options is fairly ok. There’s room for improvement.   Kudos to all the staff and may everyone is safe from covid. ,40,May-21,Undisclosed,1,0,Yotel
Worth the stay,"Although the room is small but the moment i stepped in, i feel the comfy and clean feeling which is very important..   and due to the last min of the change of regulation due to the covid, hotel staggered the check-in timing and we managed to check in at 9am to avoid the crowd. Thank you!   The staff is nice and friendly too. ",40,May-21,Undisclosed,2,0,Yotel
Very cozy,"Despite the room being small, it was very cozy and comfortable. The overall theme is very cool, especially the lifts. A good place for mirror selfies. But there is no room cleaning service (only once in 3 days?) so my bf had to change the bin himself after the first night (we stayed 2 nights). There is no other bin in the hallway so we left it outside the room where someone collected. Other than this, all else is alright.",50,May-21,Undisclosed,1,0,Yotel
Value for money hotel,Hotel was great for the money paid. Good service by both human and robot. It was a good experience mixing technology and human service. Will definitely book again for a short getaway. Will recommend to my family and friends as well ,50,May-21,Undisclosed,1,0,Yotel
Staycation,Unique smart bed. Would be better if able to connect to Apple phones or iPad to the tv. Overall very clean hotel and location is conveniently located near shopping and eateries. Great view from the rooms as well.,40,May-21,Undisclosed,1,0,Yotel
Great stay,1)Amazing hotel with Super clean room  2)Excellent service  3)Stunning view and Great location. Lots of entries within walking distance and sourrond by shopping. Less than 10 minutes by foot to MRT Orchard Station.  Strongly recommend. Differently will back.,50,May-21,Travelled solo,28,16,Yotel
Great experience,"Had a very good time. View was excellent. Room was great. Would definitely recommend this. Location was close to station. Very easy to find. Good to make connection of iPad to TV easier. Other than that, everything was good",40,May-21,Undisclosed,1,0,Yotel
excellent stay,"loved it, will come back again. had a really good time! bed was comfortable, loved the shower and toilet facilities. room was clean. good customer service, fuss free check in and check out experience. good location at the heart of orchard road.",50,May-21,Undisclosed,1,0,Yotel
Room to improve,"Everything is good, hotel staff is very professional and nice, the birthday song from the robot is a nice touch, room design is nice. However, the dirty blanket and the super uncomfortable bed spoil everything, basically can't sleep well at all. ",40,May-21,Undisclosed,1,0,Yotel
