Review Title,Review Description,Review Rating,Month of Stay:,Type of Trip:,No. of contributions from reviewer:,No. of helpful votes on review:,Hotels
Fabulous stay,"We stayed here for 5 days. Everything was superb, from the food, to the rooms, to the service. We thoroughly enjoyed ourselves. The Chi spa was wonderful as well. The staff are very helpful and made our stay pleasant and memorable. ",50,May-19,Travelled with family,35,38,ShangriLa
Good in overall,"Nice and clean room, hotel facilities e.g. gym, fitness and their related facilities are good and ready in place.  Also, I would highlight for the great breakfast with covering all kind and various food.",50,Apr-19,Travelled on business,1,0,ShangriLa
End of a great cruise!!,"We spent two nights in the Singapore Shangri-La Valley Wing - definitely a to-die-for room.  What comfortable surroundings, amenities and service!  Spectacular options for breakfast each morning and a great selection of restaurants to chose from the rest of the day.  The staff, from check-in until departure, was outstanding - very professional, courteous and friendly.  We particularly enjoyed chatting with Peter from the lobby.  Definitely will recommend this hotel to friends and will hopefully return someday.",50,Apr-19,Travelled with family,1,2,ShangriLa
What a Beautiful Hotel,"We only stayed two nights, but wished it could have been longer.  The Shangri-La sits in a quiet, green and nicely landscaped tropical oasis, just far enough from busy roads to make for a most relaxing stay.  Our room was beautifully appointed, with great attention to details, and everything was in working order.  We enjoyed the view of the pool and the lovely grounds. While admiring the three globes covered with live anthuriums in the lobby, we got to meet and chat with Peter, one of the lobby employees.  What a refined gentleman!  He wanted to make quite sure that everything at the Shangri-La was to our total satisfaction - and it was. We felt very pampered as guests of the Shangri-La Hotel and heartily recommend it.",50,Apr-19,Travelled as a couple,42,54,ShangriLa
"One night in this pleasant hotel, good service and excellent room","We stayed in a garden room overlooking the city. The core of the block has a nice garden and combined water feature. The room was as you'd expect for a top hotel. Orchard Road is easy walking distance from the hotel which was the main pull for us for our first night in Singapore. Singapore feels very safe at night; and night walks are good for jetlagged visitors from Europe!  There was quite a queue at reception on arrival but once we got to the front the pleasant and friendly staff checked you in and then showed you directly to your room.  The pool closes at 8pm and the pool staff make you very aware of this putting out poles and chains from 7pm onwards. The jacuzzi is good after a long flight.  Breakfast choice in the buffet was excellent, lots of different style foods…",50,Apr-19,Travelled as a couple,94,48,ShangriLa
Great experience,"I stayed there for 5 days with my family. The hotel is excellent, pool and other amenities were great and customer service was brilliant. We were lucky to meet Sheela that was able to speak the same language as mum and dad, she recommended lot of nice place to see or eat and it was brilliant. Looking forward to go back to Singapore and enjoy the stay at Shangri La.",50,Apr-19,Travelled with family,5,4,ShangriLa
Pleasant stay,"We have been staying at Shangri-La Singapore for a few times, and we love this hotel very much. Various restaurants offering nice food, and Shang Palace is definitely our favourite.  Do spend some time to have a sunbath and try out the outdoor pool & jacuzzi, and do walk around in the hotel to let the greenery making you fully relax.  The last but not the least, spending time in the Horizon Club really bring us a remarkable experience.",50,May-19,Travelled as a couple,6,0,ShangriLa
Getting better overtime...,We stayed in a suite in the Garden Wing with our two kids. I have stayed several times at the Shangri La Singapore over the last 15 to 20 years. The hotel has even improved over time with some renovation work. The hotel is very comfortable. It is close but still isolated from the noise of the city of Singapore. The swimming pool and the gardens are quite unique. The service is fantastic.,50,May-19,Travelled with family,3,3,ShangriLa
Holiday to celebrate our wedding anniversary,"We had a wonderful wonderful holiday, at the beautiful Shangri-La Hotel in Singapore. The staff in the hotel helped make our holiday and especially our wedding anniversary into a truly magical time. Thank you very much, we look forward to returning later in the year.",50,May-19,Travelled as a couple,3,3,ShangriLa
A short stay after a long cruise,"The staff were so inviting.  As my husband and I sat by the pool, in a tropical downpour, they served us food graciously, and watched inquisitively as we ate, enjoying the momentary relief from the heat!  A memory I’ll cherish forever!",40,Apr-19,Travelled as a couple,1,0,ShangriLa
Amazing experience!,"We stayed 4 nights in the Family Suite at the Tower wing which had club access and it was such a wonderful experience. The room accommodated for my mum, husband and 5 month old baby. The hotel is stunning and the staff are beyond friendly and welcoming. We particularly enjoyed the Horizon club where we went for breakfast, afternoon tea and evening drinks & canapés. The daily experience at the Horizon club was made extra special by the service given by Chef Ganesan Ashok who created mouth watering snacks and kept us entertained with his knowledge and expertise, we were very impressed by the standard and quality of the food which was served here. The breakfast at ‘The Line’ was by far the best buffet breakfast any of us have ever experienced. We will all definitely be returning to…",50,May-19,Travelled with family,1,0,ShangriLa
"Great service, beautiful hotel","My family and I had a wonderful week at the Shangri-La in Singapore.  The staff were great, attentive, but not overwhelming.  The gardens are relaxing and the hotel has a great atmosphere.   As a place to escape and as a base in Singapore I thoroughly recommend this hotel.",50,Apr-19,Travelled with family,19,27,ShangriLa
Shangri-La Experience,"I love the Shangri-La holistic experience including the ambiance, service, hospitality and the standards maintained more or less with attention to detail which I find is exceptional for guests specially the warmth in which we are welcomed and also at the time of leaving specially done in the spirit and style of Singapore.  Its one of my favorite hotels through my worldwide travel without a doubt!  What counts at the end is not only mere words but the action in tune with their marketing and promotions.  I also want to make a special reference to Siva the Bell Captain whose amiable nature  and surpassing my expectations has added to my joyful stay.",50,Feb-19,Travelled on business,1,0,ShangriLa
The Best 4 Days at Shagri La Singapore,"In the line of our business having a good break or a relaxing moment is a big gift for us. We just decided to stay at Shangri-La because the event will be held in the same place but it was the best decisions we made. 4 days, we experience the best amenities, the best  people, the best room, the best relaxing view and the best food available in the hotel. Setting a high standard to all hotels that we are  visiting around the world.  Good job Shangri-La. You really think how your guest enjoy the room.",50,May-19,Travelled on business,14,4,ShangriLa
A superb quality stay in Paradise,"We stayed 5 nights at the Valley Wing and only wish it could have been longer, but we will certainly return.  We have previously stayed here on 3 or 4 occasions and it is nice to note that they always do something that exceeds your expectations and also remember yoyr preferences from previous visits.  The room is spacious and very comfortable and is immaculately maintained by housekeeping who service the room twice daily.  The bathroon has twin basins, a good sized shower with a seat and handrails (ideal for older guests like us) and a bath with separate toilet area.  L'Occitane amenties are provided and are very nice.  Valley Wing guests benefit from the peaceful serenity of a buffet selection and full  la carte breakfast in the beautiful Summit Room, although for those who…",50,Apr-19,Travelled as a couple,286,196,ShangriLa
"Shangri-La hotel Singapore , Orange Grove .Near Orchard Road ","Fantastic location, 5 minutes walk from shopping street,15 minutes drive from the Bayfront. Fantastic, helpful staff. Fantastic restaurants : the Japanese has a beautiful location on the 24th floor with excellent panorama. The Italian restaurant (the Waterfall )  is like you are in Italy. Rooms are spacious and comfortable with all amenities you need!  Above all of this the management is environmental friendly: they ask you and only change the bed linens if you ask! I especially love this way of thinking because it is so unnecessary to change it day by day !",50,May-19,Travelled with friends,1,0,ShangriLa
Far exceeded our expectations.,"This was our first visit to the hotel, although we have stayed at the shangri la at the shard in London, and wow from the minute we arrived at the valley wing we were transported back to the good old fashioned days when guest were treated as friends not meal tickets. The rooms are grand and colonial in style, the staff are so attentive and polite always showing the utmost respect at all times. We used the buffet breakfast the first morning as we were finding our feet but after that we used the summit room, which is just another class with silver cutlery,China teapots and service to die for. With being in the Valley wing you also get afternoon tea and evening canopes which are served as opposed to the horizon suite where you help yourself to a buffet style. All in all this hotel…",50,May-19,Travelled as a couple,49,33,ShangriLa
First holiday as a family of 3,"We had a wonderful stay at the Shangri-La hotel, this is our second stay in as many years- and this time returning with our baby son. We were well cared for by all the staff and breakfast in the Valley wing was perfect.   We initially started the trip in the Garden Wing, however it did not meet the level of service that we had previously experienced at the Valley Wing.  In hindsight I guess the only thing that we feel is that the Valley wing suits us more than the others, so when we return we know where to book straight away- rather than trying anything new!",50,May-19,Travelled with family,16,33,ShangriLa
Happy times.,A perfect stop over on the way home to England.This Hotel embodies true Singapore style with old World charm. We have stayed here many times previously and eacg=h time we return it is like a homecoming all over again.,50,Apr-19,Travelled as a couple,10,9,ShangriLa
Excellent Services and Buffet,"I like the services, a great property is nothing unless it comes with greater services and the hotel staff deserves full marks for their flair of services. Special mention to ""the line"", the buffet there is full of variety, excellent and truly global.",50,Apr-19,Travelled on business,1,0,ShangriLa
Supper ,I got a business trip in Singapore and choose the Hotel for a short break. It was great time in there.  Service and staff were amazing.  The city view from the Hotel was great. We would like to share this recommendation for everyone coming to Singapore.,50,May-19,Travelled solo,5,10,ShangriLa
Great Service ,"Having been a long-term Shangri-la customer for many years (over 20, in fact!), this was the first time that we stopped for lunch at the Lobby Lounge in Singapore. Although these days we can find good service in most hotel chains, it’s not often you come across a friendly face that becomes a memorable feature of our travels. On entering, we were greeted by a genuinely warm smile from Katherine. She took time to explain all of the dishes available if we selected the buffet spread, and to recommend some of the most popular options, including the Bak Chok Mee that we really enjoyed. We’re really happy that she took the time to deliver great service in what’s becoming a productivity driven world. Thanks Katherine! ",50,Apr-19,Travelled as a couple,2,3,ShangriLa
Nice Gardenized Hotel,Tucked away at the end of Orchard Road is this old hotel which probably has seen better days. Still attractive and stayable albeit expensive. I think most visitors and clients are here for the nostalgia.,40,Sep-18,Undisclosed,25,31,ShangriLa
Trip to Shangrila,"Fantastic service, rooms are impeccably clean. We had a great time and would definitely visit again. Buffet breakfast was a good selection of quality food. Only thing was it got quite busy in the morning and there was a long queue. The spa was one of the best I've been. Great atmosphere and the masseu was terrific. The kids loved the great info or playground and the fun arcade whereby the charges are very reasonable. Didn't get to try the karaoke. The kids also loved feeding the fishes and going on the sailboat. Snorkelling was ok.",50,Jun-18,Travelled with family,17,13,ShangriLa
Valley wing,Say hello to valley wing stuff. Hotel  touch of victorian era peace and quite  very private since it has his own entrance exclusive for valley wing guest.  Also booked the tower wing family themed suite. My daughter really loved all the facilities worth the priced you paid for. Definitely 5 star service. For sure we are coming back in our next trip to singapore. ,50,Apr-19,Travelled with family,23,9,ShangriLa
Excellent hotel,"Beautiful foyer to walk into and very welcoming staff. Check in was efficient and informative, thank you Josephine, and our room was lovely. Extremely comfortable beds with good linen, very well equipped bathroom with great bath, and an amazing view. Breakfast was amazing, every taste and nationality catered for. Enjoyed an afternoon at the pool, very helpful staff and a refreshing fruit smoothie handed to me after a lovely swim. Beautiful gardens and an orchard house. Enjoyed an authentic and tasty pizza at the Waterfall bar, thank you Paul for great and friendly service. We had a late checkout as we weren’t flying out until late and the staff were so helpful and accommodating with our room and luggage. We would certainly stay here again, a lovely peaceful stay in a busy city.",50,May-19,Travelled as a couple,12,15,ShangriLa
Relaxing Beautiful Hotel,"Beautifully kept hotel in a very pretty area which is away from the busier areas. Located not far from the top of orchard road it’s about a ten minute walk down to the hi end shopping area, plenty of bars and restaurants reasonably close by.   It’s an expensive city so don’t expect the hotel to be cheap but to be honest unless you go to a hawker eating area nowhere is.  The rooms are beautifully kept as is the reception and the pool. The main restaurant is pretty good with plenty of options, seafood night is worth a visit if that’s your thing it was about £60 per head including soft drinks and bottled beer.  I would definitely stay again.",40,Apr-19,Travelled as a couple,9,19,ShangriLa
My Favorite Hotel in Singapore,"Just an incredible Hotel, staff are super excellent and just for that alone its something to experience. The Hotel is located on a beach so you walk out of the hotel and you are on the beach. Great food too, the Breakfast Buffet is to die for delicious. Great rooms Ocean view a little more money than Hill view but both very well appointed. Superb Housekeeping staff.",50,Apr-19,Undisclosed,215,99,ShangriLa
Another excellent stay at Shangri-La,"For my recent business trips to Singapore, I have opted to stay at Shangri-La Hotel Singapore. I usually do stay in Shangri-La Hotels as I have mentioned in my other reviews, no matter which hotel I go to in the chain, I always feel very welcome and at home. From check-in to departure, everything is perfect and they always do try to make your stay just that much more comfortable. The receptionist so nice that she even remembers me when I run into her again.   This time, I have stayed in the Garden Wing Deluxe Room. The room is much more spacious  than the Tower Wing Deluxe Room. The deco of the Tower Wing is more contemporary and the Garden Wing has more character. It is also less busy as compared to the Tower Wing.   I have also visited the Origin Bar for a drink and their…",50,May-19,Travelled on business,106,60,ShangriLa
Shangri-La’s Exceptional Customer Service,The moment you walk into a Shangri-La hotel you will immediately realise the high standard of customer service that is experienced in all Shangri-La hotels. This hotel is no exception. Every aspect of you stay is meticulously catered for with extreme care. You will never regret the experience.,50,Apr-19,Travelled as a couple,4,0,ShangriLa
NOT ACCEPTABLE,"Stayed for only one Friday night.  Check-in was fast and efficient, the room was nice with all necessary amenities.  However, thats where the pros end.  The hotel was overrun by families with children that ran amok.  No chairs available both days around the pool.  Our first three choices for restaurants were full on friday night and again on saturday.  Ended up eating at the japanese restaurant on the 24th floor, which was very nice but, like others have said, overly expensive.     Did not experience a luxury 5 star stay.  probably will not repeat.",30,May-19,Travelled as a couple,315,160,ShangriLa
Fabulous visit,"We enjoyed staying at the Shangri La Singapore very much.  Peter from the lobby waa extremely helpful and kind to us during our stay, which we appreciated very much.We enjoyed the facilities here and will come back here again We will also recommend friends to come here to stay. We will tell them to look for Peter.",50,May-19,Travelled as a couple,5,5,ShangriLa
City Break with a difference ,"First time I’ve been to Singapore and one word summarises my trip, fantastic. Having flown in from London, the moment I arrived at this hotel my stay has been absolutely amazing. The check in process to my room was no more than 10 minutes, a complimentary drink on arrival, I couldn’t have received a more pleasant welcome.  All the staff are so friendly and helpful, the surroundings of the hotel are breathtaking, the food of which there is a huge range is all delicious. It is obvious the hotel aim at making your stay as pleasant and relaxing as possible, for this I wish to pass on my huge thanks to the entire staff, you are all highly professional. ",50,May-19,Travelled with family,88,38,ShangriLa
Magnificent hotel with incredible breakfast and gardens,"We stayed one night before a cruise. It is about half an hour from the airport. Huge lovely bed, pillow not great, clean bathroom with bath. Coffee/ tea making in room with creamer. It took a while to work out the light switches. The breakfast was incredible with all kinds of food, hot and cold, especially Asian. The wait staff were very friendly and efficient. The gardens are extensive and beautiful with a lifeguard on duty at the pool.",50,Mar-19,Travelled as a couple,352,82,ShangriLa
Brilliant customer service,"We have only been at the hotel a day and a half (we are still here for 1 more night) the staff couldn’t be more helpful we managed to check in early, we were allowed to use all the facilities included in our horizon club package (definitely worth having) and the concierge went above and beyond when we couldn’t book night safari tickets with our card and offered to use her own! We managed to use our own in the end. The hotel is beautiful and spotless, breakfast had so many options we didn’t know where to begin and if your happy to walk a little not too far away from the shops of orchard road. Perfect start to our holiday",50,May-19,Travelled as a couple,71,26,ShangriLa
Fantastic Club Level Experience,"Really enjoyed my stay at the club level for a personal holiday.  Atmosphere and personal touches in the lounge were among the top in the city.  Attentiveness of the staff was a highlight.  Chef Ashok stood out, quite perceptive of my dietary restrictions.  The room was quite comfy and housecleaning staff went out of the way to keep things neat.  Hospitality team was thorough and overall was a great experience.  I’ll be back for sure.  On the negative side for a personal holiday the pool was quite hectic and filled with families, hard to find space to swim, though I realize the hotel is geared for families so I was glad we had booked the club since no kids allowed after 6:30 PM :-).  Next time I come with my family, I’m sure my kids will love it here.  ",50,May-19,Travelled solo,15,24,ShangriLa
"Amazing Stay, First Class - only wish our stay was longer","We only stayed one night at the Shangri-La, and with hindsight, would have stayed there for the whole time we were in Singapore.    The hotel is absolutely first class.  From check-in to breakfast, you are treated like a VIP.   The location of the hotel is very good too for major tourist visits and the pool area is stunning.  I would love to stay here again, and to be honest, would stay at any Shangri-La hotels if the service and hotel were of a similar, first class, standard.",50,Apr-19,Travelled as a couple,35,37,ShangriLa
Bday Staycation - Surprise treat,Warm reception by the staff at Shangri-La and I was pleasantly surprised by the personalised birthday set up in the room.   Cosy room with sumptuous spread at The Line. One of the best staycation I have ever had with my loved ones!,50,Apr-19,Travelled with family,4,3,ShangriLa
Ms,"During our 4 nights stay in shangri-la Singapore, we were happy with their service, enviroment, and restaurant except the check out experience! It took me 35 mins to clarify their wrong billing, the front desk colleagues were lack of proper training to handle their duty!",30,Apr-19,Travelled with family,1,0,ShangriLa
Amazing Stay,"Our family of 4 stayed at this property for a week in April. I would highly recommend this property.  The beds are incredibly comfortable. The client service is impeccable.  Johnny at the concierge desk could not have been more helpful.  He booked tickets to Universal, Gardens by the Bay and other venues at a discount.  He made all of our dinner reservations ahead of our stay.  When we left, it was like leaving a friend!  The pool was a wonderful oasis to come back to after touring in the heat each day.  Matthew at the pool offered such great service, and I appreciated his warm and friendly demeanor. The location of the hotel was within walking distance to Orchard Road.  It was also short taxi rides to Little India, Chinatown and the Marina Bay area.  It was not too crowded and…",50,Apr-19,Undisclosed,36,59,ShangriLa
good stay,The service is outstanding at the Shangri La and the hotel foyer is very nice. I would like to see some of the facilities upgraded such at the womens sauna room. Our bed was so comfortable and the room was good we could open the sliding door to the balcony,40,Apr-19,Travelled as a couple,45,29,ShangriLa
Best rest,"Shangri La Hotel Orange Grove Singapore turns out the best hotel choice we’ve made in the recent past . A vast airy entrance makes peace descend on the weary jet lagged traveller .The staff seem to be a breath away from anticipation of ones every need with total expertise but no harassment Divided into three sections , a vast swimming pool in the U of the three buildings , on many acres of superalitivr planting each part serves different clientele We opted for a magnificent suite with balcony in the breathtaking Garden Wing Food of every description Vast breakfasts We could have stayed and stayed Thank you all at Shangri La Singapore",50,Apr-19,Travelled with family,19,17,ShangriLa
Superb Weekend Birthday Staycation,"My husband and I had a memorable stay at Shangri-La Hotel over the Easter weekend.  Check-in was smooth where we were surprised with a room upgrade from Horizon Club Junior Suite to a Valley Wing Suite.  The upgraded suite was huge and elegant, with full supply of complimentary drinks and teas.  But the highlight was the birthday surprise prepared by the Horizon Club team! What a sweet gesture to welcome your guests with a birthday cake, chocolates, cookies, a basket of fruits and a birthday card.  We also had a full day access to the Horizon Club lounge for some afternoon tea and evening cocktails, as well as a full breakfast buffet spread at The Line.  Since it was Easter weekend, the hotel staff also delivered some Easter goodies to our suite, and there were Easter shows for…",50,Apr-19,Travelled as a couple,13,4,ShangriLa
One of The Best Hotel in Singapore,"New design from lobby into room because last stay was in 2017. Still have best service including fast internet connection. The rate still exclude breakfast but near Orchard, for about 200-300m walking. Room quite big and also its bathroom.",50,Apr-19,Travelled on business,59,55,ShangriLa
Superb in every way,"My husband and I prefer boutique type hotels but the offering in Singapore is for rather large hotels. The Shangri-La is a massive hotel however caters for the discerning traveller with its different categories of rooms - garden view, valley wing and tower wing. We booked a junior suite in the tower wing with access to the Horizon Club Lounge.   JUNIOR SUITE The room was modern, tastefully decorated, spacious and squeaky clean. It comprised a walk in closet (with loads of cupboards and drawers), a small lounge with a fresh bowl of fruit, kitchenette (ideal if travelling with children) with a kettle and nespresso machine, a study table, main bedroom and a bathroom with a walk-in shower and separate bathtub and his and her basins. Complimentary bottled water and a chocolate was…",50,Apr-19,Travelled as a couple,34,70,ShangriLa
Best hotel ever,"It was just a wonderful experience to have those days at the Shangri-la! Staff, rooms, lobby excellent. Breakfast with a great diversity and fresh prepared. Delicious food!  Good idea with the shuttle bus to the Mt-Station!",50,Mar-19,Travelled as a couple,29,50,ShangriLa
"fantastic service from all staff.  Gorgeous room, exceptional customer service",yes I will be telling people about this hotel.  It was the best hotel to date that we have stayed on our travels and we will return to this hotel in the future.  Thank you to all the staff for such a wonderful experience.,50,Apr-19,Travelled as a couple,1,0,ShangriLa
Birthday staycation,"Stayed at Valley Wing. Service both at check-in counter & lobby lounge are excellent, especially Zila- praise for her marvelous service & arrangement of my room with the birthday surprise! Was so touched! Rajan the lobby lounge service executive- he’s really professional & provided splendid service during our high tea & canapés sessions. Really have a wonderful time during the stay. Will definitely come back again.",50,Apr-19,Travelled as a couple,3,4,ShangriLa
Frontdesk staff shaved off the stars,"I would have given Shangrila Singapore 5 stars. The lobby was beautiful, check-in was seamless. We arrived as a group and were immediately offered welcome drinks and a place to sit while waiting. The room was likewise superb. I was attending a conference which would end at 12nn on our checkout date so my colleague and I requested for late checkout from Kaylee, the staff at the frontdesk during that time. She said that since we were part of a group, late checkout would be charged for the group. Since 4 members of our group were granted complimentary late checkout (Note: they were not Golden Circle members), we assumed we could request such, too. Kaylee was adamant and said we could not, so we left the conference early to checkout a few minutes before 12nn. Lo and behold, anothet…",20,Apr-19,Travelled on business,104,52,ShangriLa
3 night stay on stop overbwteen London - Sydney,"Fantastic hotel - facilities.and staff are first class. Lovely pool. Peffectly set up for kids and adults alike. We arrived after a long flight and were swept away to our room. The buffet choice is good and varied. Room was very spacious and quiet. Staff were friendly welcoming, and professiona.A great hotel.",50,Apr-19,Travelled with family,17,19,ShangriLa
Great stay arranged by my management,"The stay we had was absolutely fantastic. The pool was very nice and big. The hotel had a lot of greenery, even in the bar area. The rooms were fantastic and the bed were really comfortable. I will choose this hotel when I come to Singapore with my family next time.",50,Apr-19,Travelled on business,3,3,ShangriLa
not very good,"I was expecting something spectacular, but it really is not that good, maybe for kids, a short ride but nothing special.",20,Apr-19,Undisclosed,118,55,ShangriLa
BEAUTIFUL HOTEL,"We stayed at the Shangrila Hotel for 4 nights. The hotel is just beautiful. The personnel are so nice and helpful, they are always nice, and so eager to please. Since you enter the hotel, you know you've just hit it with the best hotel in Singapore. Rooms are clean, amenities are great, the view in the balconies is spectacular, a burst of colors, surrounded by so many beautiful flowers and foliage. Located very conveniently in a super nice place, it has a convenient shuttle that takes and returns you from and for the hotel to a lot of places. You'll not be disappointed if you choose this hotel. Great beyond great. Has a very convenient little store, pastry etc. where you can get delicious cakes, drinks, and sandwiches. Great place to stay!!!",50,Apr-19,Travelled as a couple,118,55,ShangriLa
Nice hotel,"What a beautiful & nice hotel in Singapore, the room is clean & comfortable, the environment around the hotel are beautiful, all the staffs are very nice & professional & good service to every guests, I would love to stay here again when I go to Singapore travel, thank you so much for all the staffs are very kind & helpful to me & my dear, hope will see you in the future soon.",40,Apr-19,Travelled as a couple,2,0,ShangriLa
Wonderful hotel for our Singapore stopover,"A wonderfully calm and comfortable hotel with many Asian touches, away from the noise and bustle of Orchard Road but close enough to it to be in the centre of things.   My partner's first time in Singapore,  she enjoyed the Spa and we also enjoyed the breakfast buffet with it's vast selection.",50,Apr-19,Travelled as a couple,356,54,ShangriLa
Nice time here ,"To be fair, it was a lovely experience eventually and close to the cable car station. However it’s old looking and not modern at all. I expected something different from Shangri-La something new fresh and modern. But it looks significantly old. Not bad, just old. The staff are very nice and we enjoyed it nonetheless. ",50,Apr-19,Travelled as a couple,51,44,ShangriLa
Perfect,"The Shangri La Singapore is our favorite hotel. We have stayed here twice now and will come back again. The rooms are spacious, clean and comfortable. A huge selection of beautiful food at LINE restaurant and the bars have a great vibe. Love the Chi Spa, all the therapists were very professional and did such a great job to help me wind down and relax. The kids absolutely loves the kids club BUDS, the staff are super friendly and well trained to look after the little ones. They have many activities including baking classes! This hotel is perfect for families, they have thought of everything to make your stay unforgettable and wanting to go back again and again!",50,Aug-18,Travelled with family,6,5,ShangriLa
Excellent Service - New Renovated Room,"This is a very old Shangri La property which has now undergone renovation and the room shown is one from the renovated floor.  The Standard Room are decent in size compared to other new hotels in Singapore, but not large enough for a couple with child to stay in the same room as there is very little space around.  The amenities are all ShangriLa standard and the quality of the Room Service is good with neat and clean sheets, bathroom and common area. Shangri La in Singapore have 2 wings and often the Guests get confused. The room reviewed is in the TOWER Wing. The rooms in Valley Wings and Garden Wings are larger. If you are a breakfast person, do not forget to take the room with breakfast as the breakfast spread in the ShangriLa THE LINE Restaurant is one of the largest buffet…",40,Apr-19,Travelled on business,550,62,ShangriLa
Excellent hotel,"What to tell about a hotel which offers excellent services in all details. From check-in there is so much hospitality, that you never will check-out. The room on Horizon Club floor was very good, and also breakfast was excellent...so much choice! The pool let me feel I stayed in a resort hotel...it is spacious and never gives the idea that you are dealing with a city hotel. Personnel was very friendly and issues were solved immediately...perfect! For me, this total experience is a reason to choose this hotel when visiting Singapore again.",50,Dec-18,Travelled as a couple,1,0,ShangriLa
Great Hotel and amenities but service needs to improve,"Stay here for 2 nights. First location was near Town but not the closest, its around 15mins walk to town. But the place is huge and grand. Like a palace in the forest. Checking in was a breeze and the service to definitely a great level   We got a standard room which was great and huge. All thats required is available.   Service staff are always greets us with a smile yet giving us the privacy we need as guests.   Delicious breakfast and a wide range of different cuisines. Definitely one of the best we had ever had.  There' s even a child play area in the basement leading to the swimming pool so definitely a place for family travels.  one small little setback was that we called the service staff twice the next morning for a scissors as my wife was preparing for our wedding but…",50,Apr-19,Travelled as a couple,95,86,ShangriLa
Busy hotel but kids club is the best ,"Staying with my family (2 adults 1 young child) for 1 night (second stay)  Arrival Shangrila Singapore has amazing lobby. Spacious. Check in was fast but overall arrival was a little let down as I went to concierge to ask if I can drop off my stuff before my husband checking in. The guy said I think you can go there (pointing reception) because we are busy. Wow! I was carrying my daughter and had to go back and forth just to leave our stuff so we can go to the kids club first. So I went over the reception , the reception staff luckily was very helpful and took me back to the concierge and asked the same guy to assist me!   The room  Very high quality of furniture and comfy bed! Very well maintained room. However quite small space left since a lot of furniture in the room.…",40,Apr-19,Travelled with family,91,73,ShangriLa
Swing through SG - great hospitality,Shangri-La never disappoints and this is another instance of the team going beyond normal hotelier service to welcome and accommodate.  From check-in where our 4 yr old was having a mini meltdown and calmed by a staff with a cookie and a stuffed toy to concierge and checkout.  Top experience all round.,50,Apr-19,Travelled with family,4,9,ShangriLa
Facility outstanding and staff over the top friendly. They really try to take care of everything possible.,from check in to check out you are really well taken care of. You feel the staff cares about your stay and helps in almost any way possible. From getting you an umbrella in case it rains to setting up tours. Best staff care I have experienced so far anywhere. Pool is outstanding.,50,Apr-19,Travelled on business,1,0,ShangriLa
"""Paradise in Singapore""","From the moment we arrived at this fabulous hotel we were greeted warmly by the hotel staff both at the door and by reception. Throughout our stay we were made to feel welcome by all staff who are working so hard to make this hotel so special. We were wowed by the foyer with it's easter themed ""Willy Wonka and The Chocolate factory "" crafted from real chocolate and the feedback from social media was equally wowed by this artwork. Our room was o the 22 floor with access to the horizon club which has great views from the floor to ceiling glass windows. The club staff were again very welcoming and attended to our every need. Food served here was delicious as were the complimentary drinks during happy hour. The concierge took care of our flight check in on departure which was great…",50,Apr-19,Travelled as a couple,185,66,ShangriLa
Easter break in Singapore,"Perfect place to stay with kids - great accommodation (Family room), excellent staff, nice food! It is expensive but it worth it! It was our 10th visit to Shangri La Singapore hotel. It was always great and it's got even better!",50,Apr-19,Travelled with family,2,0,ShangriLa
"The staff made it a memorable holiday, always smiling and helpful.",The room and the facilities plus the view lived up to the description. The staff kept the room immaculate. The bed was very comfortable and the air con worked to perfection. The staff in the restaurants were very helpful and if you did not like the food on offer the chef would make something for you.,50,Mar-19,Travelled solo,1,0,ShangriLa
High level!,"What a place in a earth of Singapore city, excellent service and staff, perfect room service and amazing location, international morning breakfast just amazing, this is one of my preferit restaurant than i visit recently!  Be back soon ;)",50,Apr-19,Travelled as a couple,25,61,ShangriLa
Staycation,"Stayed as a birthday surprise for my wife, booked a Horizon Club room and would recommend as includes dedicated check in/out, access to executive lounge includes all drinks & food depending on different times of the day. Breakfast also had good range, pastries, egg station etc. I requested a later check out and the team obliged even though Easter weekend. Nice touch from the team they left a personalized birthday card & cake in our room to celebrate my wife's birthday. If you like retail therapy (shopping) then Orchard Road is walking distance..with a wide range and choice of bars & restaurants. Great service from the team at Shangri-la",50,Apr-19,Travelled as a couple,1,0,ShangriLa
Superb!,"The hotel is amazing! The staff are very attentive and friendly. When they found out is was my sons birthday they were all over him. One of the staff appeared with a present and we hadn't even checked by this point. The room was exceptional, facilities were outstanding and the price was very reasonable. I would recommend this hotel to anyone visiting Singapore.",50,Apr-19,Travelled with family,3,6,ShangriLa
Good place for your little one!,Staff and room was fantastic! My son enjoys playing at the pool so much and he kept asking to go play there every day (we stayed for 3 days). Buds by Shangri-la was also another favourite place where my son can play safely and enjoy his 'balls time'. Look out for the free shuttle bus service to Orchard Road as well! :)   Fun place as they added a special segment during Easter period - A chocolate theme exhibit/performance. My little one was also treated to a squirrel toy which he happily played with as well during our check in. I'll come back here again for a staycation if possible! :),50,Apr-19,Travelled with family,28,24,ShangriLa
